"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2025","86,996.6","85,166.0","87,301.8","83,925.7","69.43K","2.15%"
"04/01/2025","85,164.2","82,548.6","85,506.2","82,435.8","66.72K","3.17%"
"03/31/2025","82,548.8","82,375.4","83,895.6","81,300.1","61.76K","0.22%"
"03/30/2025","82,371.6","82,646.8","83,532.9","81,593.2","35.37K","-0.33%"
"03/29/2025","82,645.7","84,412.1","84,603.4","81,668.2","39.34K","-2.09%"
"03/28/2025","84,410.4","87,209.5","87,507.5","83,596.7","85.25K","-3.23%"
"03/27/2025","87,228.2","86,937.0","87,751.4","85,844.4","56.49K","0.36%"
"03/26/2025","86,912.0","87,349.8","88,276.7","85,866.4","62.04K","-0.56%"
"03/25/2025","87,404.0","87,495.3","88,523.3","86,328.5","75.24K","-0.10%"
"03/24/2025","87,490.0","86,076.1","88,740.2","85,541.6","95.71K","1.64%"
"03/23/2025","86,077.4","83,840.2","86,082.0","83,812.7","31.13K","2.67%"
"03/22/2025","83,840.5","84,076.6","84,526.3","83,688.2","20.84K","-0.28%"
"03/21/2025","84,073.3","84,208.7","84,831.0","83,215.9","42.80K","-0.16%"
"03/20/2025","84,208.1","86,841.3","87,419.0","83,656.1","69.86K","-3.03%"
"03/19/2025","86,841.0","82,719.1","86,990.6","82,557.5","84.61K","4.98%"
"03/18/2025","82,719.1","84,019.1","84,019.1","81,171.3","58.17K","-1.55%"
"03/17/2025","84,019.1","82,580.3","84,729.2","82,525.0","58.04K","1.74%"
"03/16/2025","82,578.4","84,341.3","84,942.5","82,014.2","50.04K","-2.09%"
"03/15/2025","84,341.3","83,978.7","84,679.5","83,636.4","38.40K","0.43%"
"03/14/2025","83,977.1","81,103.5","85,286.6","80,833.2","81.23K","3.55%"
"03/13/2025","81,100.2","83,664.7","84,292.0","79,954.9","79.25K","-3.06%"
"03/12/2025","83,664.3","82,921.1","84,266.5","80,646.6","88.61K","0.90%"
"03/11/2025","82,921.1","78,579.7","83,572.6","76,677.1","123.59K","5.53%"
"03/10/2025","78,575.9","80,702.2","83,902.8","77,480.5","120.23K","-2.62%"
"03/09/2025","80,691.6","86,221.5","86,498.6","80,048.9","69.90K","-6.41%"
"03/08/2025","86,221.9","86,783.8","86,886.8","85,264.6","41.90K","-0.36%"
"03/07/2025","86,531.2","89,879.5","91,059.8","84,864.3","138.11K","-3.78%"
"03/06/2025","89,930.9","90,611.7","92,802.0","87,849.6","89.27K","-0.75%"
"03/05/2025","90,611.7","87,269.5","90,937.8","86,429.4","95.54K","3.83%"
"03/04/2025","87,266.3","86,083.8","88,887.8","81,617.0","132.50K","1.23%"
"03/03/2025","86,209.7","94,266.1","94,266.1","85,140.8","143.15K","-8.55%"
"03/02/2025","94,265.1","86,065.7","94,986.5","85,069.3","126.76K","9.52%"
"03/01/2025","86,071.6","84,353.4","86,546.3","83,837.3","79.51K","2.00%"
"02/28/2025","84,381.2","84,713.3","85,028.7","78,329.8","186.90K","-0.39%"
"02/27/2025","84,714.6","84,204.6","87,013.9","82,723.5","116.14K","0.60%"
"02/26/2025","84,212.7","88,675.0","89,375.3","82,332.9","145.33K","-5.04%"
"02/25/2025","88,686.0","91,510.4","92,523.1","86,097.5","195.29K","-3.08%"
"02/24/2025","91,508.5","96,261.0","96,497.9","91,378.5","96.46K","-4.93%"
"02/23/2025","96,258.8","96,556.2","96,655.2","95,259.5","38.82K","-0.31%"
"02/22/2025","96,556.1","96,158.3","96,930.8","95,801.1","45.62K","0.42%"
"02/21/2025","96,155.6","98,310.3","99,473.4","94,903.6","104.28K","-2.19%"
"02/20/2025","98,310.3","96,645.2","98,721.6","96,441.9","61.84K","1.72%"
"02/19/2025","96,644.8","95,663.7","96,829.6","95,049.1","58.27K","1.05%"
"02/18/2025","95,638.0","95,781.5","96,645.1","93,403.4","74.09K","-0.15%"
"02/17/2025","95,781.3","96,120.2","97,002.3","95,222.0","58.40K","-0.36%"
"02/16/2025","96,132.1","97,573.1","97,706.5","96,060.2","33.35K","-1.48%"
"02/15/2025","97,573.4","97,504.4","97,973.2","97,210.8","29.65K","0.07%"
"02/14/2025","97,504.6","96,611.6","98,817.3","96,316.5","65.37K","0.93%"
"02/13/2025","96,610.2","97,874.7","98,079.6","95,295.4","66.76K","-1.30%"
"02/12/2025","97,881.3","95,777.2","98,095.8","94,110.7","87.21K","2.20%"
"02/11/2025","95,771.7","97,434.7","98,476.5","94,902.7","69.89K","-1.71%"
"02/10/2025","97,434.7","96,469.2","98,311.6","95,307.7","71.43K","1.00%"
"02/09/2025","96,469.2","96,448.4","97,297.8","94,750.4","48.38K","0.02%"
"02/08/2025","96,447.9","96,513.5","96,862.8","95,716.1","38.99K","-0.07%"
"02/07/2025","96,513.5","96,564.8","100,133.9","95,693.7","97.60K","-0.06%"
"02/06/2025","96,568.8","96,606.3","99,119.2","95,706.6","76.92K","-0.03%"
"02/05/2025","96,595.3","97,784.8","99,028.3","96,163.8","82.92K","-1.23%"
"02/04/2025","97,793.4","101,339.7","101,692.9","96,190.5","117.35K","-3.50%"
"02/03/2025","101,337.1","97,686.0","102,372.2","91,695.8","190.81K","3.74%"
"02/02/2025","97,684.9","100,647.1","101,451.0","96,250.2","99.36K","-2.94%"
"02/01/2025","100,648.0","102,421.3","102,770.8","100,293.5","47.48K","-1.73%"
"01/31/2025","102,424.2","104,726.9","105,876.3","101,576.0","82.79K","-2.20%"
"01/30/2025","104,726.9","103,723.0","106,409.1","103,388.4","74.84K","0.97%"
"01/29/2025","103,722.0","101,342.1","104,760.0","101,340.6","74.38K","2.34%"
"01/28/2025","101,349.3","102,085.2","103,584.1","100,288.0","74.69K","-0.73%"
"01/27/2025","102,091.7","102,618.3","103,234.8","97,987.5","146.38K","-0.53%"
"01/26/2025","102,637.8","104,743.8","105,399.8","102,543.8","32.18K","-2.01%"
"01/25/2025","104,742.9","104,861.4","105,255.6","104,133.9","37.68K","-0.11%"
"01/24/2025","104,862.3","103,913.6","107,102.2","102,760.0","83.96K","0.91%"
"01/23/2025","103,912.1","103,681.3","106,806.5","101,281.6","141.80K","0.22%"
"01/22/2025","103,684.8","106,157.2","106,266.2","103,354.4","77.56K","-2.33%"
"01/21/2025","106,157.2","102,190.2","107,211.9","100,192.5","129.36K","3.87%"
"01/20/2025","102,197.7","101,313.3","109,228.6","99,676.0","202.66K","0.87%"
